id,family,entry_setting,min_stop_atr,rr,base_trades,base_win_rate_pct,base_net_usd,base_profit_factor,base_closed_trade_max_drawdown_usd,base_average_full_week_usd,base_worst_full_week_usd,base_positive_weeks_pct,base_losing_weeks,base_days_at_least_20,base_days_at_least_20_pct,base_weeks_at_least_100,base_weeks_at_least_100_pct,base_H1_net_usd,base_H2_net_usd,stress_trades,stress_win_rate_pct,stress_net_usd,stress_profit_factor,stress_closed_trade_max_drawdown_usd,stress_average_full_week_usd,stress_worst_full_week_usd,stress_positive_weeks_pct,stress_losing_weeks,stress_days_at_least_20,stress_days_at_least_20_pct,stress_weeks_at_least_100,stress_weeks_at_least_100_pct,stress_H1_net_usd,stress_H2_net_usd,eligible,failed_gates
bands_2.5_stop0.75_rr0.60,bands,2.5,0.75,0.6,212,60.8491,4.349,1.0127023348461262,36.30800000000421,-0.14811764705882352,-15.325,43.13725490196079,28,0,0.0,0,0.0,3.423,0.926,212,59.434,-22.516,0.9388384853588112,49.8689999999904,-0.6784117647058823,-18.861,39.21568627450981,30,0,0.0,0,0.0,-1.737,-20.779,False,base_profit_factor|stress_profit_factor|positive_weeks_below_50
bands_2.5_stop0.75_rr0.85,bands,2.5,0.75,0.85,212,53.7736,-22.83,0.9446957052567947,73.17100000002053,-0.7792549019607843,-22.566,45.09803921568628,27,0,0.0,0,0.0,14.039,-36.869,212,52.3585,-55.181,0.8753881347626444,83.78099999999483,-1.4185882352941175,-23.796,43.13725490196079,28,0,0.0,0,0.0,-1.583,-53.598,False,win_rate_below_60|base_profit_factor|stress_profit_factor|negative_half_year|positive_weeks_below_50
bands_2.5_stop0.75_rr1.00,bands,2.5,0.75,1.0,212,50.0,-19.534,0.9555372450116278,73.36300000001222,-0.7735490196078432,-20.882,47.05882352941177,26,0,0.0,0,0.0,9.47,-29.004,212,49.5283,-34.335,0.9254539849062449,79.292000000007,-1.069627450980392,-22.082,45.09803921568628,27,1,0.3831417624521073,0,0.0,2.57,-36.905,False,win_rate_below_60|base_profit_factor|stress_profit_factor|negative_half_year|positive_weeks_below_50
bands_2.5_stop1.25_rr0.60,bands,2.5,1.25,0.6,215,58.6047,-79.886,0.8250128689555897,114.99800000003665,-1.829313725490196,-25.569,45.09803921568628,27,0,0.0,0,0.0,-8.537,-71.349,215,57.6744,-105.774,0.780514527367719,138.40599999999841,-2.340450980392157,-26.169,41.1764705882353,29,0,0.0,0,0.0,-13.517,-92.257,False,win_rate_below_60|base_profit_factor|stress_profit_factor|negative_half_year|positive_weeks_below_50
bands_2.5_stop1.25_rr0.85,bands,2.5,1.25,0.85,215,53.0233,-66.996,0.867912698882014,117.0270000000393,-1.687078431372549,-32.774,39.21568627450981,30,0,0.0,0,0.0,13.105,-80.101,215,51.6279,-101.569,0.8112282827682031,137.5909999999979,-2.3699803921568625,-34.004,37.254901960784316,31,0,0.0,0,0.0,-3.884,-97.685,False,win_rate_below_60|base_profit_factor|stress_profit_factor|negative_half_year|positive_weeks_below_50
bands_2.5_stop1.25_rr1.00,bands,2.5,1.25,1.0,215,50.2326,-43.608,0.9170594209678299,111.29700000002256,-1.2948235294117647,-30.844,35.294117647058826,32,1,0.3831417624521073,0,0.0,9.94,-53.548,215,49.7674,-63.913,0.8832059032066967,120.17600000001227,-1.6988039215686275,-32.044,35.294117647058826,32,1,0.3831417624521073,0,0.0,-1.863,-62.05,False,win_rate_below_60|base_profit_factor|stress_profit_factor|negative_half_year|positive_weeks_below_50
bands_2_stop0.75_rr0.60,bands,2.0,0.75,0.6,609,59.6059,-28.404,0.9704866522859746,85.93400000009376,-0.8707058823529412,-34.199,58.8235294117647,21,0,0.0,0,0.0,-1.415,-26.989,607,57.8254,-108.472,0.8950547887686289,153.90000000002235,-2.4159803921568628,-49.987,52.94117647058823,24,0,0.0,0,0.0,-25.712,-82.76,False,win_rate_below_60|base_profit_factor|stress_profit_factor|negative_half_year
bands_2_stop0.75_rr0.85,bands,2.0,0.75,0.85,606,51.3201,-55.725,0.9498782597118675,137.59500000006128,-1.5631372549019609,-51.122,45.09803921568628,28,1,0.3831417624521073,0,0.0,26.653,-82.378,604,49.6689,-148.118,0.8756196220001362,193.72300000001508,-3.3713333333333333,-53.242,39.21568627450981,31,1,0.3831417624521073,0,0.0,-34.341,-113.777,False,win_rate_below_60|base_profit_factor|stress_profit_factor|negative_half_year|positive_weeks_below_50
bands_2_stop0.75_rr1.00,bands,2.0,0.75,1.0,606,47.8548,-44.631,0.9621540903701002,115.60100000002943,-1.4509019607843139,-49.337,47.05882352941177,27,3,1.1494252873563218,0,0.0,-6.726,-37.905,603,46.6003,-136.876,0.8907024060865963,194.70300000001964,-3.192686274509804,-55.927,49.01960784313726,26,3,1.1494252873563218,0,0.0,-45.406,-91.47,False,win_rate_below_60|base_profit_factor|stress_profit_factor|negative_half_year|positive_weeks_below_50
bands_2_stop1.25_rr0.60,bands,2.0,1.25,0.6,607,59.8023,-27.251,0.9752438504800268,103.07800000007263,-0.9825686274509804,-32.811,54.90196078431372,23,0,0.0,0,0.0,14.58,-41.831,603,57.8773,-130.666,0.8891301451865014,179.67800000002205,-2.9907254901960783,-43.288,49.01960784313726,26,1,0.3831417624521073,0,0.0,-27.399,-103.267,False,win_rate_below_60|base_profit_factor|stress_profit_factor|negative_half_year
